device_id,latitude,longitude,timestamp
DEV-ce7db1d1602e,18.611205,73.910369,2026-09-08 00:00:03
DEV-c6c342eb7175,18.477372,73.7717,2026-09-08 00:00:10
DEV-4bd75c9c8ebd,18.585938,73.959736,2026-09-08 00:00:30
DEV-0bdaf9f93320,18.566033,73.872062,2026-09-08 00:00:36
DEV-b39628edba7a,18.552501,73.814026,2026-09-08 00:00:38
DEV-a96b346444d6,18.531679,73.847374,2026-09-08 00:00:39
DEV-8d38a596cf8b,18.504556,73.945393,2026-09-08 00:00:44
DEV-39907e9264d7,18.600398,73.769962,2026-09-08 00:00:44
DEV-808f7f126e61,18.580626,73.822199,2026-09-08 00:00:55
DEV-c351fb4c8954,18.562999,73.795405,2026-09-08 00:01:05
DEV-66ce038e02dd,18.462195,73.911852,2026-09-08 00:01:06
DEV-820abedc3318,18.476863,73.902315,2026-09-08 00:01:10
DEV-9487a8da4f14,18.610462,73.81955,2026-09-08 00:01:20
DEV-f50f0441780b,18.584397,73.773894,2026-09-08 00:01:24
DEV-e3ccf0b66186,18.596532,73.841569,2026-09-08 00:01:25
DEV-8f87bab288a0,18.459257,73.852607,2026-09-08 00:01:36
DEV-78460c1d7ef6,18.522549,73.860657,2026-09-08 00:01:51
DEV-ab705177c930,18.617188,73.917786,2026-09-08 00:02:14
DEV-3e33981ea414,18.494838,73.751893,2026-09-08 00:02:15
DEV-cacf957d1ca6,18.517178,73.870108,2026-09-08 00:02:17
DEV-e25e3781e7ae,18.550291,73.803012,2026-09-08 00:02:25
DEV-184e7356a7e2,18.531632,73.90803,2026-09-08 00:02:28
DEV-1f98ecc4dffa,18.539085,73.860501,2026-09-08 00:02:28
DEV-50fce0a1fa88,18.459437,73.863003,2026-09-08 00:02:30
DEV-c77b615dffe7,18.477636,73.907127,2026-09-08 00:02:32
DEV-5cb815ab8261,18.523694,73.914748,2026-09-08 00:02:36
DEV-f379b550ad5b,18.500277,73.812875,2026-09-08 00:02:58
DEV-bae062ac4f29,18.60217,73.881417,2026-09-08 00:03:07
DEV-5996a4516ce7,18.552635,73.807174,2026-09-08 00:03:11
DEV-197ba040be1e,18.503912,73.799443,2026-09-08 00:03:11
DEV-7cc27170da83,18.500734,73.782976,2026-09-08 00:03:16
DEV-639d5181f7b4,18.49371,73.874109,2026-09-08 00:03:17
DEV-ad9b782e69cb,18.494028,73.753984,2026-09-08 00:03:31
DEV-42b8dff4b4ac,18.554202,73.944373,2026-09-08 00:03:32
DEV-7e6c28ff1778,18.495149,73.776684,2026-09-08 00:03:37
DEV-efb834433d98,18.519413,73.827781,2026-09-08 00:03:43
DEV-2ff067eb57f9,18.523608,73.893215,2026-09-08 00:03:43
DEV-cce03165af27,18.493733,73.779551,2026-09-08 00:03:44
DEV-a1640372b8b1,18.495257,73.777672,2026-09-08 00:03:45
DEV-dbe4a44b5ee6,18.453738,73.937999,2026-09-08 00:04:05
DEV-5aa74ccb9cb5,18.569659,73.778326,2026-09-08 00:04:13
DEV-ccc9dcd166b1,18.468519,73.833408,2026-09-08 00:04:15
DEV-3b98fe796df2,18.564065,73.923229,2026-09-08 00:04:19
DEV-2a92e311a048,18.551833,73.953774,2026-09-08 00:04:21
DEV-75d3f7932f1c,18.577233,73.77695,2026-09-08 00:04:22
DEV-7319d6a54554,18.459114,73.912879,2026-09-08 00:04:31
DEV-5a775b9cd499,18.531025,73.889776,2026-09-08 00:04:32
DEV-7df461474a58,18.616814,73.963858,2026-09-08 00:04:35
DEV-111957b25eb1,18.481099,73.959056,2026-09-08 00:04:41
DEV-52167123f725,18.495114,73.775068,2026-09-08 00:04:41
DEV-635b8ca3bbe2,18.491224,73.770263,2026-09-08 00:04:48
DEV-de9af23e3dbe,18.486343,73.841743,2026-09-08 00:04:48
DEV-17e07b10b869,18.459047,73.847391,2026-09-08 00:04:55
DEV-8ced322bfe4e,18.523005,73.77645,2026-09-08 00:04:57
DEV-95544d7a4561,18.528899,73.758485,2026-09-08 00:04:59
DEV-f99065ade078,18.534558,73.924309,2026-09-08 00:04:59
DEV-6bfa290da88a,18.510563,73.766107,2026-09-08 00:05:02
DEV-95bf76007cbf,18.562273,73.926932,2026-09-08 00:05:04
DEV-5cdc1b57ab87,18.450254,73.826005,2026-09-08 00:05:05
DEV-6db4fc37ec46,18.581402,73.885809,2026-09-08 00:05:06
DEV-15bafa6ea634,18.481721,73.978005,2026-09-08 00:05:30
DEV-c63e4576bf97,18.560394,73.907153,2026-09-08 00:05:31
DEV-72a47b8376bb,18.555057,73.812496,2026-09-08 00:05:33
DEV-d06d590ee734,18.597446,73.947857,2026-09-08 00:05:35
DEV-d70ed2b1099c,18.552404,73.965656,2026-09-08 00:05:36
DEV-b40a18bc9027,18.537825,73.89669,2026-09-08 00:05:42
DEV-6584679e7bca,18.584524,73.76237,2026-09-08 00:05:53
DEV-f1c159a402f6,18.498683,73.927209,2026-09-08 00:05:53
DEV-88ac1127bfee,18.547728,73.752616,2026-09-08 00:06:07
DEV-f61a4d8c82df,18.617787,73.967928,2026-09-08 00:06:12
DEV-22243e6b53be,18.594164,73.850615,2026-09-08 00:06:23
